store_code,store_name_public,gmv_first7,orders_first7,qty_first7,aov_first7,items_per_order_first7,oneprice_share_first7,gmv_last7,orders_last7,qty_last7,aov_last7,items_per_order_last7,oneprice_share_last7,delta_gmv,delta_orders,delta_oneprice_share
S01,Store_01,7636.860000000001,490.0,553.0,15.585428571428572,1.1285714285714286,0.0,8554.490000000002,472.0,526.0,18.123919491525427,1.1144067796610169,0.2918467377950058,917.630000000001,-18.0,0.2918467377950058
S02,Store_02,12566.000000000002,684.0,789.0,18.37134502923977,1.1535087719298245,0.0,10662.6,594.0,679.0,17.95050505050505,1.1430976430976432,0.1846641532084107,-1903.4000000000012,-90.0,0.1846641532084107
S03,Store_03,14779.4,877.0,979.0,16.852223489167617,1.1163055872291905,0.0,16082.4,905.0,999.0,17.77060773480663,1.1038674033149172,0.1283639257822215,1303.0,28.0,0.1283639257822215
S04,Store_04,21627.2,1361.0,1621.0,15.890668626010289,1.1910360029390157,0.0,16097.5,952.0,1100.0,16.909138655462186,1.1554621848739497,0.2566236993321944,-5529.700000000001,-409.0,0.2566236993321944
S05,Store_05,12615.6,838.0,1013.0,15.054415274463008,1.2088305489260145,0.0,8470.6,532.0,642.0,15.92218045112782,1.2067669172932332,0.1865275187117795,-4145.0,-306.0,0.1865275187117795
S06,Store_06,16672.3,944.0,1071.0,17.661334745762712,1.1345338983050848,0.0,16556.5,922.0,1039.0,17.95715835140998,1.1268980477223427,0.2088243288134569,-115.79999999999929,-22.0,0.2088243288134569
S07,Store_07,20917.78,1280.0,1334.0,16.342015625000002,1.0421875,0.0,20376.88,1264.0,1339.0,16.12094936708861,1.0593354430379749,0.0,-540.9000000000015,-16.0,0.0
S08,Store_08,19135.4,1104.0,1306.0,17.332789855072466,1.1829710144927537,0.0,9597.7,570.0,686.0,16.8380701754386,1.2035087719298243,0.1595382226991883,-9537.7,-534.0,0.1595382226991883
S09,Store_09,30327.82,2013.0,2414.0,15.065981122702432,1.1992051664182812,0.0,21699.98,1302.0,1615.0,16.666651305683562,1.240399385560676,0.2479541455798577,-8627.839999999997,-711.0,0.2479541455798577
S10,Store_10,8258.960000000001,518.0,528.0,15.943938223938224,1.0193050193050193,0.0,6182.460000000001,401.0,417.0,15.417605985037408,1.0399002493765586,0.0,-2076.5,-117.0,0.0
S11,Store_11,14143.2,974.0,1118.0,14.520739219712524,1.1478439425051334,0.0,7532.3,498.0,563.0,15.125100401606426,1.1305220883534135,0.2516362863932663,-6610.899999999999,-476.0,0.2516362863932663
S12,Store_12,39827.4,2488.0,3128.0,16.007797427652733,1.257234726688103,0.0,25168.9,1507.0,1889.0,16.701327140013273,1.2534837425348375,0.239946918617818,-14658.5,-981.0,0.239946918617818
S13,Store_13,9391.9,595.0,696.0,15.784705882352943,1.169747899159664,0.0,7279.7,393.0,448.0,18.523409669211198,1.1399491094147582,0.297402365482094,-2112.2000000000016,-202.0,0.297402365482094
