store_code,store_name_public,delta_gmv,delta_oneprice_share,oneprice_share_first7,oneprice_share_last7
S12,Store_12,-14658.5,0.23994691861781803,0.0,0.23994691861781803
S08,Store_08,-9537.7,0.15953822269918835,0.0,0.15953822269918835
S09,Store_09,-8627.84,0.24795414557985765,0.0,0.24795414557985765
S11,Store_11,-6610.900000000001,0.2516362863932663,0.0,0.2516362863932663
S04,Store_04,-5529.700000000001,0.2566236993321944,0.0,0.2566236993321944
S05,Store_05,-4145.0,0.18652751871177956,0.0,0.18652751871177956
S13,Store_13,-2112.2,0.29740236548209403,0.0,0.29740236548209403
S10,Store_10,-2076.500000000001,0.0,0.0,0.0
S02,Store_02,-1903.3999999999996,0.1846641532084107,0.0,0.1846641532084107
S07,Store_07,-540.9000000000015,0.0,0.0,0.0
